t_bin,current_a,current_std,current_sigma_a,delta_f_hz,delta_f_sigma_hz,common_mode_hz,f_left_hz,f_right_hz,n
64,505.9912767166666,0.15552231361913185,0.177076789,45441628.64166667,15073.302308333334,2870757935.5,2848037121.1666665,2893478749.8333335,6
65,505.9437161166666,0.10938036038075986,0.1562273465,45437580.14166667,13298.535848333333,2870760558.6666665,2848041768.5,2893479348.6666665,6
66,506.0972186,0.18927408125785417,0.24010194625,45450646.730000004,20438.19095,2870756744.75,2848031421.25,2893482068.0,4
67,506.05461622,0.10363502426631546,0.2010337352,45447020.288,17112.588742,2870759688.6,2848036178.4,2893483199.0,5
68,505.9758549166667,0.13085848719834148,0.16867619133333334,45440315.89166667,14358.21847,2870757572.5,2848037414.5,2893477730.3333335,6
69,506.0222765666667,0.16297856256918364,0.181322538,45444267.44,15434.7131,2870757988.6666665,2848035855.1666665,2893480122.6666665,6
70,505.94980503333335,0.04451015160908836,0.12045787166666667,45438098.449999996,10253.731876666667,2870756344.6666665,2848037295.3333335,2893475393.6666665,3
71,506.10531949999995,0.11326863561911743,0.16550092533333335,45451336.300000004,14087.930411666666,2870759390.5,2848033722.6666665,2893485058.6666665,6
72,506.0693374,0.10173863079562112,0.172485598,45448273.39666667,14682.48651,2870755276.3333335,2848031139.6666665,2893479413.1666665,6
73,506.10937344,0.08668752337609724,0.15091449620000003,45451681.383999996,12846.290224,2870757443.0,2848031602.4,2893483283.6,5
74,506.02568345,0.13893986759160665,0.139403511,45444557.442499995,11866.44098,2870755835.25,2848033556.5,2893478114.0,4
75,506.07783956000003,0.08317014507505033,0.1294742546,45448997.126,11021.2331964,2870754930.0,2848030431.6,2893479428.8,5
76,506.0568611833333,0.10790053727110975,0.101190074,45447211.38333333,8613.599714666665,2870759063.0,2848035457.1666665,2893482668.6666665,6
77,505.97773903999996,0.10165611442582763,0.11622859320000001,45440476.272,9893.7231086,2870757213.2,2848036975.2,2893477451.2,5
78,506.0924291,0.11654552262893203,0.17710834575,45450239.0325,15075.988519999999,2870759989.5,2848034870.0,2893485109.0,4
79,506.0575183,0.09611784027663596,0.18180733500000001,45447267.32333333,15475.98044,2870760337.1666665,2848036703.5,2893483970.8333335,6
80,506.07796808,0.04852384842468246,0.1246537086,45449008.066,10610.8939804,2870760831.6,2848036327.6,2893485335.6,5
81,506.06185826,0.11254062109211128,0.14097751679999998,45447636.752,12000.425018,2870756012.4,2848032194.0,2893479831.0,5
82,506.052321975,0.13478806236195578,0.1163630705,45446824.9975,9905.170245000001,2870755358.25,2848031945.75,2893478770.75,4
