a,delta_f_MHz,B_mT,n_spectral_peaks,fwhm_minus_MHz,fwhm_plus_MHz,r2_minus,r2_plus,A_minus,A_plus,f0_minus_GHz,f0_plus_GHz
515,357.5,6.383929,2,12.129429186094248,10.611160508688712,0.9786326293918727,0.9852441702441453,0.12345707080189315,0.14766595713716824,2.73335004353865,3.0908470116380964
520,357.5,6.383929,2,11.919307040113278,10.497152755141283,0.9778010765626403,0.9856875207118154,0.1250317965394328,0.14848573980928254,2.734414443488197,3.0919332264669417
525,357.4,6.382143,2,12.431488718102125,10.769423584565912,0.9804926928301964,0.9857968529858628,0.12189860537225332,0.1472388368966025,2.7403755484405643,3.09784971725248
530,355.8,6.353571,2,12.671452181798905,10.934651529061338,0.9799192165505488,0.9856170454090053,0.12207264310002451,0.1466370293645766,2.7567476935630637,3.114235894797642
535,355.9,6.355357,2,12.951003757824664,11.030814562124837,0.9784627238201854,0.984323221756082,0.11931496507203779,0.14519575056288112,2.7341452599670766,3.091721224645748
540,357.6,6.385714,2,13.684997944489538,11.31186446991862,0.9836584099891237,0.9851504838769679,0.11463080751622536,0.14129924041459468,2.7352066211659136,3.0919438170920004
545,359.7,6.423214,2,13.346134688105609,11.238424332449952,0.9767808368420166,0.9831953492731796,0.11566449925011056,0.1430190874131623,2.734933026695497,3.0925084605065845
550,354.5,6.330357,2,15.366610996311618,12.201057790232014,0.9835701149749227,0.9846505766965421,0.10534423546907473,0.13543580141113346,2.73758577878671,3.093513054678359
555,360.4,6.435714,2,14.005544058915914,11.666186885526711,0.9775754728573625,0.9836200095751227,0.11299702776319759,0.14054955558562354,2.7286716483438163,3.0864378274131767
560,360.2,6.432143,2,14.150774010971961,11.787038748484074,0.9753971400705836,0.9816493501787925,0.11105665983572618,0.13904008056245692,2.7476802376046634,3.1053470893283266
565,355.8,6.353571,2,14.845603984430888,12.782795841361295,0.980314978060934,0.9831226757411098,0.10761803097721245,0.13038162555048244,2.7352160363307556,3.091665952795071
570,355.6,6.35,2,15.29898384777886,13.2152152180725,0.9814695349909637,0.9837390614811239,0.10573023530536081,0.1269933436185051,2.7344494819963274,3.090924009765732
575,360.3,6.433929,2,15.363244744292887,12.372308005853894,0.9776118721430638,0.9794072763277449,0.10600622428285647,0.13504451715888804,2.732390055898966,3.0902396417449665
580,360.1,6.430357,2,15.4881686386118,12.471874253109775,0.9762554831959335,0.9778668150981925,0.10524265419254165,0.13446699029339404,2.7349343865577502,3.09246208360526
585,360.2,6.432143,2,15.911676112106115,12.686065705110618,0.9762514442165241,0.9774164993729376,0.10452547824253594,0.13409962829129282,2.732021645144418,3.0896353432047774
590,357.7,6.3875,2,16.544291204685255,13.451057077369274,0.9785036743652863,0.9846549322083151,0.10324273236504813,0.1320923561251495,2.7598747767815603,3.116757809080344
595,355.5,6.348214,2,17.899159464325045,13.557997945761976,0.9825354068284655,0.9823208653415764,0.0975638322649271,0.12845849449016056,2.7355151936515796,3.0916909851336527
600,360.1,6.430357,2,17.22624458454633,13.315810088874771,0.9758935777769389,0.9773565016383858,0.1007414646230528,0.13083085950881485,2.7297567502371196,3.087415107283741
605,354.9,6.3375,2,19.02364185806564,14.024385419264027,0.9835999874403984,0.9818339937554567,0.09435435446622953,0.12526477654166537,2.7389024822977754,3.0948891851813745
610,355.1,6.341071,2,20.196964005219463,14.598210091484006,0.9836976660818673,0.9820192306042747,0.09188256279238513,0.12279863758538251,2.720232593235051,3.0758807986983174
615,355.6,6.35,2,18.53060857256781,13.894626137332963,0.9724693386909725,0.9779781346500268,0.09696813477619849,0.12745023477615305,2.73013233468528,3.0875628786252416
620,355.6,6.35,2,19.10390011999022,14.306613213515549,0.9696045870227693,0.9774335682554748,0.09532010301993621,0.1253310010263328,2.7371302013309595,3.094877109568787
625,355.6,6.35,2,19.702376080816723,14.594802050599228,0.968814103132092,0.9772453945655105,0.09458832586196403,0.12498411660442944,2.7362889843781386,3.0940866255129884
630,355.5,6.348214,2,20.268417223878735,14.87727370671236,0.9665799387963642,0.9764066188683918,0.0927360546047635,0.12319694611967545,2.7390131203013177,3.096801199885797
640,352.3,6.291071,2,22.44064442961147,18.99439979555833,0.9750321742563369,0.9828859802656643,0.08764478800385443,0.10489123879483112,2.725297728741213,3.080410675445723
650,355.3,6.344643,2,23.74651955135614,15.484234749039114,0.9739838281717696,0.9810601796784435,0.08344556704735696,0.11027275096577566,2.7369748489566557,3.090139780189624
750,25.1,0.448214,7,36.40320028491233,38.89942599666446,0.9716793958087527,0.9428254631277969,0.04753144799847182,0.054467449338334924,2.770180874855235,2.7688318292067957
800,381.4,6.810714,6,42.19836206429391,41.32567024882528,0.9463771598399919,0.9649916848271713,0.040291785969165606,0.04869373420149554,2.747907732465543,3.1007631784966594
890,363.2,6.485714,11,79.99999999999999,79.99999999999999,0.7059078975023537,0.825979270554106,0.031915488664789486,0.0497756878221636,2.7443390942652,3.0937765447513628
